pm_name,pm_Latitude,pm_Longitude,pm_type,pm_LandPublicArea,pm_location
興泰公園,25.004810333,121.55548096,公園,32585,辛亥路四段166巷內
興隆公園,25.000139236,121.55108643,公園,14610,文山區仙岩路128號
興福公園,24.997119904,121.5459671,公園,2540,景華街121巷底
興德綠色步道,24.99477005,121.55953979,公園,3653,興隆路3段296號至304巷口(海巡署前)
興豐公園,25.000190735,121.55126953,公園,1659,興隆路2段123號旁
文山50號綠地,24.990789413,121.5750885,綠地,262,秀明路2段24巷
文山木柵60號綠地,25.000429153,121.58325195,綠地,1196,新光路2段與萬福橋旁，動物園公務門前方
木柵14號綠地,24.991630554,121.55152893,綠地,1043,懷恩隧道口南側出入口
木柵17號(秀明綠地),24.989030838,121.56481171,綠地,53,久康街木柵16號公園對面
木柵49號綠地,24.993080139,121.57366943,綠地,25,新光路1段185
指南綠地,24.983009338,121.57967377,綠地,4651,指南路3段24巷5號旁
軍功綠地,25.001279831,121.57267761,綠地,1735,和平東路4段295巷內
清溪綠地,24.985069275,121.58055115,綠地,2272,指南路二段225巷旁
景美29號綠地,24.996370316,121.55181885,綠地,1076,懷恩隧道口北側出入口
景美30號綠地,25.000749588,121.55519867,綠地,29,興隆路與興德路交叉口
景美32號綠地,25.009220123,121.55796051,綠地,1116,辛亥隧道口南側
萬利綠地,25.000289917,121.56475067,綠地,632,萬利街41巷旁
萬利綠地,25.000289917,121.56475067,綠地,632,萬利街41巷旁
