lat,lon,name,address
25.060653,121.515832,儷安藥局,臺北市大同區錦西街５３巷１６號
25.057334,121.511459,富康藥局,臺北市大同區延平北路２段１２６號
25.070609,121.515833,佳禾藥局,臺北市大同區大龍街２６２號
25.064747,121.511201,延平新聖安藥局,臺北市大同區延平北路３段３５號
25.057618,121.519369,德芳藥局,臺北市大同區民生西路９１號
25.050354,121.510788,中興聯合藥局,臺北市大同區鄭州路１２７號（實際營業地址：１樓）
25.053696,121.510636,躍獅遠東藥局,臺北市大同區延平北路２段１３１號（實際營業地址：１樓）
25.0574,121.519676,躍獅文昌藥局,臺北市大同區民生西路１０８號（實際營業：一層）
25.05036,121.519732,春鄰藥局,臺北市大同區長安西路３５號（實際營業樓層：１層）
25.065839,121.514281,新聖安藥局,臺北市大同區昌吉街１３０號
25.048572,121.532247,百源堂大藥局,臺北市中山區長安東路２段４７－５號
25.055049,121.540284,名祥藥局,臺北市中山區龍江路１６６號
25.051699,121.525542,大信藥局,臺北市中山區林森北路１５９巷６號
25.055022,121.526587,明美藥局,臺北市中山區長春路６９號
25.060253,121.53475,順泰藥局,臺北市中山區錦州街２６６號
25.051448,121.534655,滿順藥局,臺北市中山區伊通街５４號１樓
25.062067,121.531314,長生藥局,臺北市中山區松江路３６２巷５５號１樓
25.057935,121.524223,優豐藥局,臺北市中山區民生東路１段３２號
25.054818,121.525629,能康藥局,臺北市中山區長春路４６號
25.063669,121.521567,良佑藥局,臺北市中山區撫順街６－２號１樓
25.056207,121.541887,長青藥局,臺北市中山區興安街５５號１樓
25.082728,121.548838,大直藥局,臺北市中山區北安路６１７號１樓
25.051364,121.523274,美日藥局,臺北市中山區天津街６６號１樓
25.066075,121.540088,文德藥局,臺北市中山區龍江路３５６巷１９號１樓
25.054728,121.531711,展佑藥局,臺北市中山區長春路１４６－１號
25.051419,121.525087,祥泰藥局,臺北市中山區林森北路１３６號
25.060326,121.538508,嘉恩藥局,臺北市中山區錦州街３２１號
25.08014,121.547952,樂活苑藥局,臺北市中山區北安路５４６號１樓
25.061647,121.530392,大愛藥師藥局,臺北市中山區吉林路２５５號１樓
25.061269,121.525478,久大藥局,臺北市中山區林森北路４８０號
25.058248,121.521673,華康藥局,臺北市中山區民生西路３巷２之１號
25.065007,121.52454,躍獅晴光藥局,臺北市中山區農安街２３之２號
25.066522,121.530042,德惠藥局,臺北市中山區德惠街１２２號
25.048426,121.54068,金生藥局,臺北市中山區長安東路２段１６７－１號
25.051434,121.521402,興康源藥局,臺北市中山區中山北路１段１４０巷８號
25.048385,121.542569,正傑健保藥局,臺北市中山區長安東路２段１８１號
25.06024,121.521574,錦西春天生活藥局,臺北市中山區錦西街１０號
25.081912,121.549291,保德明水藥局,臺北市中山區北安路６０８巷４弄１號
25.081944,121.548643,大直健康藥局,臺北市中山區北安路５９１號
25.056155,121.543465,OK藥師藥局,臺北市中山區興安街９５號
25.050182,121.526852,昶青林森藥局,臺北市中山區林森北路１１９巷５２號
25.065299,121.525798,麗恩藥局,臺北市中山區林森北路５７５之５號
25.065106,121.541046,建誠中西藥局,臺北市中山區龍江路３８５之１號
25.062326,121.525506,仁一藥局,臺北市中山區林森北路５２０號
25.08241,121.548762,大直小太陽藥局,臺北市中山區北安路６０７之１號
25.082382,121.549061,美康正康藥局,臺北市中山區北安路６１６之１號、６１８號２樓之１
25.064832,121.524773,農安藥局,臺北市中山區農安街１８之１號
25.065323,121.540871,禾全藥局,臺北市中山區龍江路３３２號
25.077228,121.585191,永安藥局,臺北市內湖區文德路２１０巷３０弄４８號
25.08168,121.572833,富山藥局,臺北市內湖區麗山街３６４巷２號１樓
25.069705,121.612468,明湖藥局,臺北市內湖區東湖路７巷２７號１Ｆ
25.067378,121.590855,宏光藥局,臺北市內湖區成功路２段２２１號１樓
25.08033,121.591996,杏佳藥局,臺北市內湖區康寧路１段５１號
25.06785,121.615788,安康藥局,臺北市內湖區安康路４８２號
25.079246,121.578502,至康藥局,臺北市內湖區內湖路１段７３７巷１９弄１號
