name,latitude,longitude
華中露營場,25.01462383252272,121.49634093046188
華中露營場,25.01462383252272,121.49634093046188
藝築文旅 - 開封舘,25.047079,121.505302
趣旅館．林森館,25.0613745,121.52572729999996
趣旅館．林森館,25.0613745,121.52572729999996
趣旅館．林森館,25.0613745,121.52572729999996
趣旅館．林森館,25.0613745,121.52572729999996
昇美精品旅店,25.0536585,121.52783840000006
昇美精品旅店,25.0536585,121.52783840000006
昇美精品旅店,25.0536585,121.52783840000006
昇美精品旅店,25.0536585,121.52783840000006
瑾旅南西館 Gininn NanXi,25.054123,121.513605
瑾旅南西館 Gininn NanXi,25.054123,121.513605
瑾旅南西館 Gininn NanXi,25.054123,121.513605
瑾旅南西館 Gininn NanXi,25.054123,121.513605
瑾旅南西館 Gininn NanXi,25.054123,121.513605
House Ximending,25.04296988683455,121.50558356864812
House Ximending,25.04296988683455,121.50558356864812
House Ximending,25.04296988683455,121.50558356864812
苓旅萬年-LIN INN Wan Nian,25.043513,121.505894
苓旅萬年-LIN INN Wan Nian,25.043513,121.505894
苓旅萬年-LIN INN Wan Nian,25.043513,121.505894
苓旅萬年-LIN INN Wan Nian,25.043513,121.505894
苓旅萬年-LIN INN Wan Nian,25.043513,121.505894
苓旅萬年-LIN INN Wan Nian,25.043513,121.505894
冨粧商旅,25.045865140287123,121.5031497180462
皇后旅店,25.05138516311912,121.51462331403307
皇后旅店,25.05138516311912,121.51462331403307
豪贊旅店,25.047064,121.505814
大地清旅,25.048153419813925,121.5433077742398
大地清旅,25.048153419813925,121.5433077742398
千彩格精品旅店,25.05577156158259,121.52528967609214
千彩格精品旅店,25.05577156158259,121.52528967609214
千彩格精品旅店,25.05577156158259,121.52528967609214
千彩格精品旅店,25.05577156158259,121.52528967609214
千彩格精品旅店,25.05577156158259,121.52528967609214
拾光嶼 28,25.052558,121.513113
拾光嶼 28,25.052558,121.513113
拾光嶼 28,25.052558,121.513113
拾光嶼 28,25.052558,121.513113
拾光嶼 28,25.052558,121.513113
拾光嶼 28,25.052558,121.513113
Meander 1948,25.050517,121.515144
Meander 1948,25.050517,121.515144
Meander 1948,25.050517,121.515144
Meander 1948,25.050517,121.515144
Ueno Hirokoji 428,25.056761,121.508631
Ueno Hirokoji 428,25.056761,121.508631
Ueno Hirokoji 428,25.056761,121.508631
華達大飯店,25.04676528602632,121.5133953877314
華達大飯店,25.04676528602632,121.5133953877314
華達大飯店,25.04676528602632,121.5133953877314
華達大飯店,25.04676528602632,121.5133953877314
華達大飯店,25.04676528602632,121.5133953877314
貴都飯店-Crystal Hotel Taipei,25.03006427071438,121.50289356708528
貴都飯店-Crystal Hotel Taipei,25.03006427071438,121.50289356708528
貴都飯店-Crystal Hotel Taipei,25.03006427071438,121.50289356708528
貴都飯店-Crystal Hotel Taipei,25.03006427071438,121.50289356708528
貴都飯店-Crystal Hotel Taipei,25.03006427071438,121.50289356708528
客憩旅宿,25.044507,121.5133576
客憩旅宿,25.044507,121.5133576
客憩旅宿,25.044507,121.5133576
客憩旅宿,25.044507,121.5133576
大稻埕花園旅店,25.062021440892508,121.50918066501616
大稻埕花園旅店,25.062021440892508,121.50918066501616
三隻老虎旅店,25.04368338698988,121.50460157540692
三隻老虎旅店,25.04368338698988,121.50460157540692
三隻老虎旅店,25.04368338698988,121.50460157540692
三隻老虎旅店,25.04368338698988,121.50460157540692
北門臥客青年旅舍,25.05275788958657,121.51090564293963
北門臥客青年旅舍,25.05275788958657,121.51090564293963
北門臥客青年旅舍,25.05275788958657,121.51090564293963
北門臥客青年旅舍,25.05275788958657,121.51090564293963
陸號行旅萬年館,25.04352624419985,121.5060679614544
旅居文旅西門驛站昆明館,25.04246673996633,121.5046302974224
旅居文旅西門驛站昆明館,25.04246673996633,121.5046302974224
欣欣時尚旅店松山站,25.049890302538856,121.5706447927513
欣欣時尚旅店松山站,25.049890302538856,121.5706447927513
欣欣時尚旅店松山站,25.049890302538856,121.5706447927513
欣欣時尚旅店松山站,25.049890302538856,121.5706447927513
欣欣時尚旅店松山站,25.049890302538856,121.5706447927513
新獅城商務旅館New Lion City Hotel,25.050288,121.515555
新獅城商務旅館New Lion City Hotel,25.050288,121.515555
新獅城商務旅館New Lion City Hotel,25.050288,121.515555
救國團劍潭海外青年活動中心 ,25.0775919567304,121.52444511652
救國團劍潭海外青年活動中心 ,25.0775919567304,121.52444511652
西門邑居會館,25.0461538,121.5070438
西門邑居會館,25.0461538,121.5070438
西門邑居會館,25.0461538,121.5070438
西門邑居會館,25.0461538,121.5070438
西門邑居會館,25.0461538,121.5070438
西門邑居會館,25.0461538,121.5070438
西門邑居會館,25.0461538,121.5070438
