name,category,lat,lon,address
山脈迪克有限公司,餐廳,25.069292,121.617373,臺北市內湖區康樂街48巷19號5樓
大格國際有限公司,餐廳,25.026847,121.523047,臺北市大安區和平東路1段6號11樓
豪嵐有限公司,餐廳,25.040244,121.576195,臺北市信義區虎林街132巷19號1樓
凱文先生文教有限公司,餐廳,25.060016,121.537332,臺北市中山區建國北路2段129號2樓
炫韓有限公司,餐廳,25.043388,121.553256,臺北市大安區延吉街62巷9號
來喫餐飲企業有限公司,餐廳,25.038461,121.527305,臺北市中正區仁愛路2段25號5樓
中馥股份有限公司,餐廳,25.032945,121.551698,臺北市大安區信義路4段188號11樓之1
天賦螺股份有限公司,餐廳,25.037648,121.535746,臺北市大安區仁愛路3段26號5樓
金義合資產管理股份有限公司,餐廳,25.037033,121.501437,臺北市萬華區康定路279號1樓
百變全球餐飲股份有限公司,餐廳,25.044526,121.542756,臺北市大安區市民大道3段288號1樓
新奧上有限公司,餐廳,25.041754,121.547955,臺北市大安區忠孝東路4段97號地下樓
小正太餐飲有限公司,餐廳,25.04023,121.55343,臺北市大安區忠孝東路4段216巷19弄6號1樓
濠渴吼餐飲顧問有限公司,餐廳,25.034716,121.553371,臺北市大安區安和路1段127巷17號1樓
饗印度美食有限公司,餐廳,25.035345,121.560732,臺北市信義區基隆路1段366號
元鑫國際餐飲股份有限公司,餐廳,25.059452,121.548665,臺北市松山區民權東路3段160巷19弄36號
桁久有限公司,餐廳,25.06303,121.530738,臺北市中山區吉林路299巷6號1樓
好野吧股份有限公司,餐廳,25.000444,121.550631,臺北市文山區仙岩路79號1樓
艾美日餐飲股份有限公司,餐廳,25.038567,121.521721,臺北市中正區仁愛路1段4號4樓
偉昌碩國際貿易有限公司,餐廳,25.057537,121.510977,臺北市大同區延平北路2段144巷20弄3號1樓
帑轍饌有限公司,餐廳,25.049132,121.553543,臺北市松山區八德路3段99巷12之10號
微糖有限公司,餐廳,25.044392,121.505898,臺北市萬華區西寧南路50巷3號3樓
奧詣有限公司,餐廳,25.038986,121.554184,臺北市大安區仁愛路4段345巷15弄3號
李鐵柱餐飲股份有限公司,餐廳,25.051919,121.549637,臺北市松山區南京東路4段1號8樓
國賓美富股份有限公司,餐廳,25.057151,121.523669,臺北市中山區中山北路2段65巷9號2樓
恩索有限公司,餐廳,25.018246,121.500679,臺北市萬華區富民路155巷23號1樓
直火盒子餐飲股份有限公司,餐廳,25.042604,121.553088,臺北市大安區忠孝東路4段223巷22號1樓
漢陽韓食有限公司,餐廳,25.039093,121.552431,臺北市大安區仁愛路4段345巷4弄23號1樓
乳獲芳心甜點有限公司,餐廳,25.138686,121.511613,臺北市北投區中山路47號3樓
地平線智創股份有限公司,餐廳,25.046367,121.514883,臺北市中正區館前路2號12樓
旨丼餐飲有限公司,餐廳,25.062356,121.531054,臺北市中山區民權東路2段64號
龍門陣餐飲有限公司,餐廳,25.044392,121.550737,臺北市大安區忠孝東路4段181巷52號
初曦國際有限公司,餐廳,25.06622,121.513445,臺北市大同區重慶北路3段80號2樓
立睦騰股份有限公司,餐廳,25.049537,121.54376,臺北市中山區復興北路48號7樓
香港商殼子特玩台灣控股有限公司,餐廳,25.033524,121.564604,臺北市信義區信義路五段7號69樓
香甜生活有限公司,餐廳,25.018718,121.555764,臺北市大安區臥龍街267之7號1樓
萾璽有限公司,餐廳,25.053864,121.547116,臺北市松山區敦化北路120巷19號
笑咪咪有限公司,餐廳,25.055125,121.530034,臺北市中山區吉林路126號1樓
耐克斯特世代咖啡有限公司,餐廳,25.050764,121.569933,臺北市松山區基隆路1段8號13樓
曾家豆漿有限公司,餐廳,25.060464,121.528856,臺北市中山區錦州街123號1樓
凍心國際股份有限公司,餐廳,25.043537,121.546128,臺北市大安區大安路1段42號
米登義廚有限公司,餐廳,25.038523,121.555775,臺北市大安區光復南路346巷54號1樓
蘭誠無限創意料理有限公司,餐廳,25.05009,121.566404,臺北市松山區南京東路5段250巷18弄6號1樓
錫恩貿易股份有限公司,餐廳,25.027652,121.551188,臺北市大安區樂利路18之1號1樓
均品咖啡有限公司,餐廳,25.038378,121.498932,臺北市萬華區桂林路128號
萬閎食品有限公司,餐廳,25.026781,121.539874,臺北市大安區瑞安街135巷4號
饌馥有限公司,餐廳,25.033024,121.549159,臺北市大安區敦化南路2段1號6樓
渃緹絲國際股份有限公司,餐廳,25.054846,121.524519,臺北市中山區長春路26號3樓
繁花創新科技有限公司,餐廳,25.062134,121.615869,臺北市南港區經貿二路235巷67號2樓
美國矽谷智能教育有限公司,餐廳,25.033435,121.531334,臺北市大安區信義路2段222號10樓
世瑞有限公司,餐廳,25.042687,121.552265,臺北市大安區敦化南路1段187巷59號1樓
速酒國際有限公司,餐廳,25.05566,121.526473,臺北市中山區新生北路2段60巷34號1樓
昕晟餐飲有限公司,餐廳,25.036591,121.556296,臺北市大安區光復南路420巷24號
韓雅醬蟹屋有限公司,餐廳,25.043659,121.542154,臺北市大安區安東街46號1樓
捷成國際企業股份有限公司,餐廳,25.081109,121.57707,臺北市內湖區港墘路82巷13號
連祥國際有限公司,餐廳,25.057003,121.520839,臺北市中山區民生西路66巷19號
鉅客昆饕股份有限公司,餐廳,25.042639,121.504829,臺北市萬華區昆明街85之1號1樓
雞湯榮麵食館有限公司,餐廳,25.06026,121.523946,臺北市中山區錦州街14號1樓
慵懶國館餐飲有限公司,餐廳,25.038501,121.556815,臺北市大安區光復南路346巷22號
詠毓有限公司,餐廳,25.059618,121.548458,臺北市松山區民權東路3段160巷19弄32號
爛醉娛樂股份有限公司,餐廳,25.035668,121.566021,臺北市信義區松壽路12號1樓
銘意創想有限公司,餐廳,25.051686,121.570725,臺北市松山區南京東路5段8、10號4樓
水聿有限公司,餐廳,25.07391,121.57865,臺北市內湖區瑞光路168號9樓
今食此地餐飲有限公司,餐廳,25.039169,121.550372,臺北市大安區安和路1段27號15樓
熊家日本料理有限公司,餐廳,25.052472,121.553642,臺北市松山區南京東路4段75巷20號1樓
河林亭有限公司,餐廳,25.048333,121.534222,臺北市中山區長安東路2段82號
